Puzzle: 6 hard
Amount: 100
Result details: ./Result/F_reverse_learning_init_population.csv
Maximum Fitness: 629.0

-----Parameters-----
Objective Function Weight = [0.5, 0.5, 0, 0, 0]
C = 2
beta = 6
N = 50
D = 36
lb = 0
ub = 1
t_max = 1000
count = 33
k = 2
reward = [-1, 1]
alpha = 0.1
gamma = 0.6
eps = 0.6
chi = 0.2

-----Results-----
Fitness:
	Minimal = 0.0
	Maximal = 4.0
	Average = 1.35
	Standard Deviation = 0.9526279441628828
Average Performance = 74.03495440729483%
Runtime:
	Average = 10.978399238586427
	Total = 1097.8399238586426
Optimal = 20/100 (20.0%)
Optimal by Preprocessing = 6/100 (6.0%)
Average Preprocessing = 47.11111111111111%

-----Details-----
85.  ID = 11,043,803, Fitness = 3.0000    (Iteration: 1000), Runtime = 13.5340, Preprocessed = 13/36 ( 36.11%), Preprocessed Fitness = 6.0000    , Performance =  50.00%
86.  ID = 11,052,019, Fitness = 2.0000    (Iteration: 1000), Runtime = 15.0305, Preprocessed = 8 /36 ( 22.22%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
87.  ID = 11,122,064, Fitness = 3.0000    (Iteration: 1000), Runtime = 14.8172, Preprocessed = 6 /36 ( 16.67%), Preprocessed Fitness = 7.0000    , Performance =  57.14%
88.  ID = 11,142,331, Fitness = 0.0000    (Iteration:    2), Runtime = 0.0410 , Preprocessed = 31/36 ( 86.11%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
89.  ID = 11,156,823, Fitness = 1.0000    (Iteration: 1000), Runtime = 13.0397, Preprocessed = 19/36 ( 52.78%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
90.  ID = 11,244,092, Fitness = 1.0000    (Iteration: 1000), Runtime = 12.7278, Preprocessed = 15/36 ( 41.67%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
91.  ID = 11,257,378, Fitness = 2.0000    (Iteration: 1000), Runtime = 14.8425, Preprocessed = 8 /36 ( 22.22%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
92.  ID = 11,278,191, Fitness = 1.0000    (Iteration: 1000), Runtime = 16.1894, Preprocessed = 5 /36 ( 13.89%), Preprocessed Fitness = 7.0000    , Performance =  85.71%
93.  ID = 11,289,923, Fitness = 1.0000    (Iteration: 1000), Runtime = 15.6550, Preprocessed = 5 /36 ( 13.89%), Preprocessed Fitness = 7.0000    , Performance =  85.71%
94.  ID = 11,296,205, Fitness = 3.0000    (Iteration: 1000), Runtime = 14.3622, Preprocessed = 13/36 ( 36.11%), Preprocessed Fitness = 7.0000    , Performance =  57.14%
95.  ID = 11,296,253, Fitness = 0.0000    (Iteration:   12), Runtime = 0.1570 , Preprocessed = 24/36 ( 66.67%), Preprocessed Fitness = 4.0000    , Performance = 100.00%
96.  ID = 11,302,380, Fitness = 0.0000    (Iteration:   18), Runtime = 0.2818 , Preprocessed = 14/36 ( 38.89%), Preprocessed Fitness = 6.0000    , Performance = 100.00%
97.  ID = 11,318,920, Fitness = 1.0000    (Iteration: 1000), Runtime = 12.8395, Preprocessed = 23/36 ( 63.89%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
98.  ID = 11,365,066, Fitness = 1.0000    (Iteration: 1000), Runtime = 11.3411, Preprocessed = 26/36 ( 72.22%), Preprocessed Fitness = 3.0000    , Performance =  66.67%
99.  ID = 11,377,936, Fitness = 1.0000    (Iteration: 1000), Runtime = 14.8042, Preprocessed = 12/36 ( 33.33%), Preprocessed Fitness = 6.0000    , Performance =  83.33%
