Puzzle: 6 hard
Amount: 100
Result details: ./Result/exploration_with_no_r.csv
Maximum Fitness: 629.0

-----Parameters-----
Objective Function Weight = [0.5, 0.5, 0, 0, 0]
C = 2
beta = 6
N = 50
D = 36
lb = 0
ub = 1
t_max = 1000
count = 33
k = 2
reward = [-1, 1]
alpha = 0.1
gamma = 0.6
eps = 0.6
chi = 0.2

-----Results-----
Fitness:
	Minimal = 0.0
	Maximal = 3.0
	Average = 1.19
	Standard Deviation = 0.8330066026148893
Average Performance = 77.66717325227965%
Runtime:
	Average = 11.819519526958466
	Total = 1181.9519526958466
Optimal = 21/100 (21.0%)
Optimal by Preprocessing = 6/100 (6.0%)
Average Preprocessing = 47.11111111111111%

-----Details-----
100. ID = 11,379,952, Fitness = 1.0000    (Iteration: 1000), Runtime = 12.2058, Preprocessed = 27/36 ( 75.00%), Preprocessed Fitness = 3.0000    , Performance =  66.67%

Seed =
('MT19937', array([2147483648,  252532259, 2728757144, 2358017187, 1964440659,
        228407619,  672055219, 2351891136, 2385784561,  802242655,
       1057754353,  973998497, 2103980013, 3121659694, 2549879169,
       3373307775, 2058739888, 3530492801, 1760875977, 1458532800,
       2331605308, 2496386389, 2660285229, 1729072864, 2612740350,
       2620494975, 1243398625, 1220769388,   33835777, 3390775013,
        150649479, 1342028434,  411928584, 1780338611, 2290295742,
       3341739265, 3302444690, 2056401868, 2227410302, 3856564529,
       3615663687, 1593561845, 1267854444, 2940258031, 4232048570,
       3440059573, 1918374437, 1205577652, 1095068224,  987626675,
       1493712437, 2781501669,  206400648, 2653120573, 2012706378,
       3576834781, 2029953211,  491395460, 4066592670,  291644877,
       2161904345, 3159871785, 4001425149, 2908403253, 1219946803,
        880690768, 3665087817, 2133296904, 4108418980,  171162605,
         78407953,  288996310, 3283358065, 3889663833, 1336957517,
       3488145479, 3892750467, 3913222913, 2974721331,  742550061,
       2619831330, 2147889896, 1355277306, 2380508876, 1943048725,
       3747176903, 1662818465, 4139968301, 3824405174, 3316876541,
       3426356679,  239241453,  217171956,  733993537,  790997848,
       2637532250, 2118532291, 3497786069,  562561205, 3503509244,
       1745883221,  954023555, 1169810948, 1191398380, 4247281389,
       2034262094, 3690201609,  877692415,  967653416, 2140698918,
       3685312980, 1201503218, 1291269618, 2612105439, 3408581143,
       2627822990, 1841106808, 3831355203,  533581936, 2477405253,
         50886989, 2029496633, 1339160620, 3388278106, 3997996617,
       3873132709, 1286722252, 4228565861, 3665922308, 3473782819,
        583145471, 3279337305,  931811023, 3125321878,  339241861,
       2031574008, 3058312847, 3474045599, 1716479410, 1454317824,
       3336307801, 2397283805, 1871845871, 4270398694, 3671118037,
       3208628433, 1919752016, 3754800354,  735234071,  572065159,
       2164821173,  267624988, 2801167795, 3421914552, 1742226469,
        285299630, 3217098436,  578967676, 2884708748, 3138650747,
       1122058852, 3614315712,   94856858, 1585985703, 2050818168,
        779583785, 3116384381,  905977583, 1735235240,   31495150,
        179881285, 2731560831, 3441352347, 2314503754, 4064453183,
       1579760198, 2665285080, 3244991748, 2738236427, 2699813316,
       1823226985,  409814131, 1091637420, 1390956807, 3605208742,
       3585367930, 3033225526, 4001146579, 1000325530, 2716224152,
       1180575267, 2501917263,  107325408, 2099309838, 2181686580,
       2797054616, 2789596416, 2284513268,  309293010, 1264432562,
       2201895419, 2681073987,  709652401,   73889736, 2205299703,
       2032933138, 3136763530, 3135221936, 2540097379, 3538190858,
       2891927394, 1797934085, 3543204596, 3442684333, 2488737770,
       3343737506, 3591819091, 3245213216, 3982851224, 4132568318,
       4229379858, 1153805115, 2711811551, 2827976160, 2349416076,
        654530477,  790461984, 1456583934, 1444560479, 2256552670,
        105807347, 4213713863, 3408943349, 3707775502, 3126201259,
       2760057132, 2824591838, 3736132110,  490454854,  474225707,
       2736212498, 1524796300, 3224957189, 3710525445, 3246166969,
       2573543547, 1352005416, 1400731794, 1960648344, 2539960490,
        952854326, 2453619344, 2664920786, 3313709565, 3075922219,
       4054072011, 3054925203, 4279910964, 2989584140,  389439257,
       1478898019, 1792586246, 1953135575,    6170289, 4254395729,
       2893021153,  725717180, 4225204344, 2031991704, 2838790154,
       1166842865, 3811329347,  245265563, 1730304716, 1703145662,
       2394874257, 3456544195,  872142437, 4204979999,  556622018,
        865695964, 2316527197,  307708330, 2031157183, 1781220142,
       1080080542, 2019725855, 1932185157, 4043501959, 1521308419,
       2857687401, 3851227042, 2200430946,  319028829, 3173315737,
        692749733, 3032307064,  435120609, 3775971053, 2828118334,
        919385417, 1508267096, 2120795669, 2631185595, 3959650054,
       2537471312,   80665587, 2567277610,  115557926, 1312216104,
        148517223, 1958589266, 1265693493, 3807250976, 2191408995,
       3111679447, 1229435714, 1716451120,  728988430, 3626298187,
       4291030598, 1200591265, 2933764576, 1617981535,  610262810,
        436424669, 3706829132,  334090502,  550277641, 4193891703,
         89122994, 2913425928,  127346450, 4010600754, 3000184494,
       4200555568, 1162906965, 1664972243, 3635303315, 3139620877,
