Puzzle: 6 hard
Amount: 100
Result details: ./Result/F_different_for_each_variables.csv
Maximum Fitness: 629.0

-----Parameters-----
Objective Function Weight = [0.5, 0.5, 0, 0, 0]
C = 2
beta = 6
N = 50
D = 36
lb = 0
ub = 1
t_max = 1000
count = 33
k = 2
reward = [-1, 1]
alpha = 0.1
gamma = 0.6
eps = 0.6
chi = 0.2

-----Results-----
Fitness:
	Minimal = 0.0
	Maximal = 3.0
	Average = 1.03
	Standard Deviation = 0.8179853299418028
Average Performance = 81.44630192502532%
Runtime:
	Average = 10.70938707113266
	Total = 1070.938707113266
Optimal = 28/100 (28.0%)
Optimal by Preprocessing = 6/100 (6.0%)
Average Preprocessing = 47.11111111111111%

-----Details-----
70.  ID = 10,611,067, Fitness = 2.0000    (Iteration: 1000), Runtime = 15.4178, Preprocessed = 9 /36 ( 25.00%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
71.  ID = 10,643,789, Fitness = 2.0000    (Iteration: 1000), Runtime = 15.6730, Preprocessed = 10/36 ( 27.78%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
72.  ID = 10,672,197, Fitness = 0.0000    (Iteration:  658), Runtime = 8.3455 , Preprocessed = 23/36 ( 63.89%), Preprocessed Fitness = 5.0000    , Performance = 100.00%
73.  ID = 10,683,662, Fitness = 0.0000    (Iteration:  866), Runtime = 10.6079, Preprocessed = 28/36 ( 77.78%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
74.  ID = 10,696,087, Fitness = 1.0000    (Iteration: 1000), Runtime = 15.4156, Preprocessed = 6 /36 ( 16.67%), Preprocessed Fitness = 7.0000    , Performance =  85.71%
75.  ID = 10,701,184, Fitness = 1.0000    (Iteration: 1000), Runtime = 15.3739, Preprocessed = 8 /36 ( 22.22%), Preprocessed Fitness = 7.0000    , Performance =  85.71%
76.  ID = 10,713,003, Fitness = 0.0000    (Iteration:    2), Runtime = 0.0195 , Preprocessed = 26/36 ( 72.22%), Preprocessed Fitness = 3.0000    , Performance = 100.00%
77.  ID = 10,754,124, Fitness = 0.0000    (Iteration:    1), Runtime = 0.0191 , Preprocessed = 30/36 ( 83.33%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
78.  ID = 10,781,445, Fitness = 0.0000    (Iteration:    1), Runtime = 0.0090 , Preprocessed = 36/36 (100.00%), Preprocessed Fitness = 0.0000    , Performance =   0.00%
79.  ID = 10,795,215, Fitness = 1.0000    (Iteration: 1000), Runtime = 15.4961, Preprocessed = 15/36 ( 41.67%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
80.  ID = 10,816,466, Fitness = 1.0000    (Iteration: 1000), Runtime = 14.9580, Preprocessed = 17/36 ( 47.22%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
81.  ID = 10,847,337, Fitness = 1.0000    (Iteration: 1000), Runtime = 14.1877, Preprocessed = 23/36 ( 63.89%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
82.  ID = 10,875,569, Fitness = 1.0000    (Iteration: 1000), Runtime = 16.0074, Preprocessed = 20/36 ( 55.56%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
83.  ID = 10,896,847, Fitness = 1.0000    (Iteration: 1000), Runtime = 14.6815, Preprocessed = 10/36 ( 27.78%), Preprocessed Fitness = 6.0000    , Performance =  83.33%
84.  ID = 10,930,056, Fitness = 0.0000    (Iteration:    4), Runtime = 0.0465 , Preprocessed = 28/36 ( 77.78%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
85.  ID = 11,043,803, Fitness = 1.0000    (Iteration: 1000), Runtime = 15.6633, Preprocessed = 13/36 ( 36.11%), Preprocessed Fitness = 6.0000    , Performance =  83.33%
86.  ID = 11,052,019, Fitness = 2.0000    (Iteration: 1000), Runtime = 14.8669, Preprocessed = 8 /36 ( 22.22%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
87.  ID = 11,122,064, Fitness = 2.0000    (Iteration: 1000), Runtime = 16.0658, Preprocessed = 6 /36 ( 16.67%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
88.  ID = 11,142,331, Fitness = 0.0000    (Iteration:    1), Runtime = 0.0156 , Preprocessed = 31/36 ( 86.11%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
89.  ID = 11,156,823, Fitness = 1.0000    (Iteration: 1000), Runtime = 13.1413, Preprocessed = 19/36 ( 52.78%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
90.  ID = 11,244,092, Fitness = 1.0000    (Iteration: 1000), Runtime = 14.9904, Preprocessed = 15/36 ( 41.67%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
91.  ID = 11,257,378, Fitness = 1.0000    (Iteration: 1000), Runtime = 15.0155, Preprocessed = 8 /36 ( 22.22%), Preprocessed Fitness = 7.0000    , Performance =  85.71%
92.  ID = 11,278,191, Fitness = 3.0000    (Iteration: 1000), Runtime = 15.3437, Preprocessed = 5 /36 ( 13.89%), Preprocessed Fitness = 7.0000    , Performance =  57.14%
