Puzzle: 6 hard
Amount: 100
Result details: ./Result/F_rand.csv
Maximum Fitness: 629.0

-----Parameters-----
Objective Function Weight = [0.5, 0.5, 0, 0, 0]
C = 2
beta = 6
N = 50
D = 36
lb = 0
ub = 1
t_max = 1000
count = 33
k = 2
reward = [-1, 1]
alpha = 0.1
gamma = 0.6
eps = 0.6
chi = 0.2

-----Results-----
Fitness:
	Minimal = 0.0
	Maximal = 4.0
	Average = 1.58
	Standard Deviation = 1.1151681487560519
Average Performance = 70.51418439716312%
Runtime:
	Average = 11.929167556762696
	Total = 1192.9167556762695
Optimal = 19/100 (19.0%)
Optimal by Preprocessing = 6/100 (6.0%)
Average Preprocessing = 47.11111111111111%

-----Details-----
97.  ID = 11,318,920, Fitness = 1.0000    (Iteration: 1000), Runtime = 13.6554, Preprocessed = 23/36 ( 63.89%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
98.  ID = 11,365,066, Fitness = 1.0000    (Iteration: 1000), Runtime = 12.7002, Preprocessed = 26/36 ( 72.22%), Preprocessed Fitness = 3.0000    , Performance =  66.67%
99.  ID = 11,377,936, Fitness = 2.0000    (Iteration: 1000), Runtime = 14.4949, Preprocessed = 12/36 ( 33.33%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
100. ID = 11,379,952, Fitness = 0.0000    (Iteration:    8), Runtime = 0.1114 , Preprocessed = 27/36 ( 75.00%), Preprocessed Fitness = 3.0000    , Performance = 100.00%

Seed =
('MT19937', array([ 469776858, 2658209164, 1543613381, 1065855783,  139136531,
       2303014417, 4043018156, 3736014191, 3812122479, 1138545585,
        499463074, 2438923454, 2673489971, 2341910797,  870558222,
       2511060542, 3912607278,  845729501, 1963162973, 2489091574,
       2784214253, 2466069094, 1122156232,  154719247, 2313435117,
        996122046, 1393478534,  543020731, 2530711269,  573418088,
        665734491, 4201642632,   86901966, 3435221264, 3374546019,
       2476076311, 1398465361,  765329093,    9065026, 3694807760,
       3671207503,  592554049,  631672865, 1409078534, 2592153453,
       3222674328, 2611934059,   34612263, 3031471751, 3544182085,
       1442372485, 3516589055, 1503288595,  942334777, 1679194719,
        685423992, 3317593573, 1976689823, 3309713014,   81877110,
       3341430584, 3325771563, 3526624319, 2057945992, 4024923619,
       1186732602, 3091166285, 1817475685, 3447739221, 3956514683,
       1956558672, 3420033379,  937817171, 3587423059, 1930379342,
        270444428, 4031038917,  407107658, 4205521280, 2327517960,
       1318357070, 2767139802, 1525117579, 2495125623,  859672027,
       3060400053, 3660890321, 2282654431,  667856288,  529840533,
       2043467805, 3660301941,  873141603, 4145830770, 1513305030,
       3182656818, 4278877876, 3088285364, 1194816758, 1617110276,
       1482500187, 3190303468, 3193698984, 3197163001, 1117808959,
       2929080333,  691458672, 1261622678, 2754760203, 3890816388,
       2956122059, 3051412929, 2091833940,  399727225, 3936254892,
         39421005, 1274925365, 2169483980, 1429192083, 2861856320,
       3783619015, 1823228896,  478032466, 2595540083, 1274102038,
       1008799959, 3740425326, 1140381972, 2349885023,  625050293,
       2218721543,  306380751, 3908682083, 1643200877, 2910080083,
        699884642, 1127757772, 1869640526,  365330300,  156961088,
